Area_Name,Year,ACA01_No_of_persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,ACA02_No_of_persons_arrested_during_the_year,ACA04_No_of_persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,ACA05_No_of_persons_in_whose_cases_charge_sheets_were_laid_during_the_year,ACA06_No_of_persons_under_trial_at_the_beginning_of_the_year,ACA07_Total_No_of_persons_under_trial_during_the_year,ACA08_No_of_persons_whose_cases_were_withdrawn_or_otherwise_disposed_off_during_the_year,ACA09_No_of_persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,ACA10_No_of_persons_in_whose_cases_trials_were_completed_during_the_year,ACA11_No_of_persons_convicted_during_the_year,ACA12_No_of_persons_acquitted_during_the_year,ACA13_Percentage_of_persons_convicted_to_total_persons_in_whose_cases_trials_were_completed_during_the_year,ACA14_No_of_persons_involved_in_the_cases_reported_for_Regular_Departmental_Action_during_the_year,ACA15_No_of_persons_involved_in_the_cases_reported_for_suitable_action_during_the_year,ACA16_No_of_persons_punished_departmentally_during_the_year:,ACA161_No_of_persons_dismissed_from_Service_during_the_year,ACA162_No_of_persons_removed_from_service_during_the_year,ACA163_No_of_persons_awarded_other_major_punishments_during_the_year,ACA164_No_of_persons_awarded_minor_punishments_during_the_year,ACA171_No_of_Group_`A'_Officers_out_of_above,ACA172_No_of_Group_`B'_Officers_out_of_above,ACA19_No_of_private_persons_involved_during_the_year
Karnataka,2010,636.0,497.0,639.0,368.0,1309.0,1677.0,50.0,1350.0,277.0,87.0,190.0,31.4,59.0,70.0,0.0,2.0,0.0,3.0,0.0,51.0,104.0,72.0
Karnataka,2009,264.0,430.0,636.0,344.0,928.0,1272.0,18.0,1309.0,165.0,29.0,115.0,17.5,41.0,79.0,2.0,2.0,0.0,0.0,0.0,41.0,74.0,28.0
Karnataka,2008,181.0,380.0,264.0,164.0,873.0,1037.0,3.0,928.0,125.0,20.0,106.0,16.0,81.0,81.0,0.0,4.0,0.0,0.0,0.0,52.0,46.0,30.0
Karnataka,2005,142.0,340.0,165.0,172.0,1043.0,1215.0,6.0,938.0,271.0,42.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,45.0,27.0
Karnataka,2006,165.0,318.0,250.0,183.0,938.0,1121.0,11.0,848.0,262.0,27.0,235.0,0.0,145.0,1.0,10.0,9.0,1.0,0.0,0.0,48.0,57.0,11.0
Karnataka,2007,250.0,284.0,181.0,252.0,848.0,1100.0,56.0,873.0,171.0,35.0,136.0,0.0,1.0,20.0,0.0,0.0,1.0,0.0,0.0,31.0,58.0,14.0
Karnataka,2001,473.0,202.0,425.0,98.0,1145.0,1243.0,7.0,1062.0,174.0,15.0,159.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,32.0,6.0
Karnataka,2002,425.0,175.0,221.0,159.0,1062.0,1221.0,32.0,1967.0,122.0,9.0,113.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,107.0,14.0
Karnataka,2003,221.0,93.0,221.0,43.0,1967.0,2010.0,562.0,1262.0,186.0,19.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,112.0,6.0
Karnataka,2004,221.0,77.0,142.0,60.0,1262.0,1322.0,14.0,1043.0,265.0,41.0,224.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,18.0
