Area_Name,Year,ACA01_No_of_persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_beginning_of_the_year,ACA02_No_of_persons_arrested_during_the_year,ACA04_No_of_persons_in_custody_or_on_bail_during_the_stage_of_investigation_at_the_end_of_the_year,ACA05_No_of_persons_in_whose_cases_charge_sheets_were_laid_during_the_year,ACA06_No_of_persons_under_trial_at_the_beginning_of_the_year,ACA07_Total_No_of_persons_under_trial_during_the_year,ACA08_No_of_persons_whose_cases_were_withdrawn_or_otherwise_disposed_off_during_the_year,ACA09_No_of_persons_in_custody_or_on_bail_during_the_stage_of_trial_at_the_end_of_the_year,ACA10_No_of_persons_in_whose_cases_trials_were_completed_during_the_year,ACA11_No_of_persons_convicted_during_the_year,ACA12_No_of_persons_acquitted_during_the_year,ACA13_Percentage_of_persons_convicted_to_total_persons_in_whose_cases_trials_were_completed_during_the_year,ACA14_No_of_persons_involved_in_the_cases_reported_for_Regular_Departmental_Action_during_the_year,ACA15_No_of_persons_involved_in_the_cases_reported_for_suitable_action_during_the_year,ACA16_No_of_persons_punished_departmentally_during_the_year:,ACA161_No_of_persons_dismissed_from_Service_during_the_year,ACA162_No_of_persons_removed_from_service_during_the_year,ACA163_No_of_persons_awarded_other_major_punishments_during_the_year,ACA164_No_of_persons_awarded_minor_punishments_during_the_year,ACA171_No_of_Group_`A'_Officers_out_of_above,ACA172_No_of_Group_`B'_Officers_out_of_above,ACA19_No_of_private_persons_involved_during_the_year
Bihar,2007,13.0,950.0,20.0,943.0,0.0,0.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,150.0,215.0
Gujarat,2010,144.0,947.0,449.0,642.0,959.0,1601.0,0.0,1378.0,223.0,51.0,172.0,0.0,5.0,35.0,6.0,1.0,0.0,2.0,3.0,9.0,46.0,35.0
Maharashtra,2007,775.0,870.0,1188.0,453.0,3588.0,4041.0,21.0,3553.0,467.0,97.0,370.0,0.0,10.0,0.0,3.0,1.0,0.0,1.0,1.0,88.0,72.0,73.0
Maharashtra,2003,825.0,792.0,869.0,730.0,3717.0,4447.0,14.0,3929.0,504.0,131.0,373.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,3.0,54.0,81.0,93.0
Punjab,2005,338.0,748.0,523.0,529.0,1037.0,1566.0,35.0,1244.0,287.0,95.0,192.0,0.0,0.0,26.0,8.0,8.0,0.0,0.0,0.0,79.0,0.0,115.0
Odisha,2010,305.0,733.0,543.0,489.0,3147.0,3636.0,41.0,3286.0,309.0,98.0,211.0,0.0,212.0,68.0,54.0,21.0,1.0,22.0,10.0,100.0,451.0,147.0
Maharashtra,2001,835.0,712.0,803.0,729.0,3205.0,3934.0,7.0,3564.0,363.0,117.0,246.0,0.0,8.0,0.0,68.0,0.0,0.0,45.0,23.0,37.0,83.0,78.0
Maharashtra,2010,1015.0,676.0,1016.0,645.0,3463.0,4108.0,83.0,3482.0,543.0,85.0,458.0,0.0,45.0,0.0,8.0,0.0,0.0,4.0,4.0,114.0,83.0,107.0
Odisha,2009,119.0,657.0,305.0,461.0,2895.0,3356.0,18.0,3147.0,191.0,86.0,105.0,0.0,74.0,24.0,26.0,9.0,7.0,7.0,3.0,74.0,87.0,96.0
Maharashtra,2002,803.0,651.0,825.0,612.0,3564.0,4176.0,16.0,3717.0,443.0,105.0,338.0,0.0,6.0,0.0,4.0,0.0,1.0,0.0,3.0,38.0,50.0,81.0
Maharashtra,2006,838.0,625.0,775.0,687.0,3495.0,4182.0,39.0,3588.0,555.0,134.0,421.0,0.0,35.0,0.0,14.0,0.0,0.0,4.0,10.0,52.0,62.0,63.0
Maharashtra,2008,1188.0,614.0,1148.0,641.0,3553.0,4194.0,23.0,3493.0,678.0,151.0,527.0,0.0,6.0,0.0,12.0,0.0,0.0,12.0,0.0,49.0,52.0,55.0
Odisha,2008,25.0,599.0,119.0,448.0,2641.0,3089.0,39.0,2895.0,155.0,61.0,94.0,39.0,66.0,6.0,0.0,7.0,3.0,6.0,5.0,93.0,66.0,111.0
Maharashtra,2004,869.0,575.0,789.0,634.0,3929.0,4563.0,13.0,3815.0,735.0,193.0,542.0,0.0,2.0,0.0,5.0,0.0,0.0,1.0,4.0,60.0,61.0,77.0
Maharashtra,2005,789.0,556.0,838.0,502.0,3815.0,4317.0,11.0,3495.0,811.0,195.0,616.0,0.0,32.0,0.0,2.0,0.0,0.0,0.0,2.0,57.0,47.0,66.0
Maharashtra,2009,1148.0,531.0,1015.0,651.0,3493.0,4144.0,34.0,3463.0,647.0,137.0,510.0,0.0,18.0,0.0,11.0,0.0,0.0,7.0,4.0,49.0,74.0,74.0
Punjab,2004,338.0,528.0,338.0,371.0,1037.0,1408.0,109.0,1037.0,262.0,114.0,148.0,0.0,15.0,62.0,13.0,13.0,0.0,0.0,0.0,125.0,0.0,136.0
Karnataka,2010,636.0,497.0,639.0,368.0,1309.0,1677.0,50.0,1350.0,277.0,87.0,190.0,31.4,59.0,70.0,0.0,2.0,0.0,3.0,0.0,51.0,104.0,72.0
Punjab,2010,57.0,459.0,112.0,378.0,1135.0,1513.0,12.0,1122.0,379.0,104.0,275.0,0.0,13.0,22.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,35.0
Karnataka,2009,264.0,430.0,636.0,344.0,928.0,1272.0,18.0,1309.0,165.0,29.0,115.0,17.5,41.0,79.0,2.0,2.0,0.0,0.0,0.0,41.0,74.0,28.0
Andhra Pradesh,2003,209.0,413.0,402.0,220.0,932.0,1152.0,4.0,1039.0,109.0,43.0,66.0,0.0,55.0,0.0,26.0,6.0,1.0,2.0,17.0,0.0,0.0,6.0
Punjab,2001,90.0,411.0,219.0,279.0,1439.0,1718.0,51.0,1512.0,155.0,43.0,112.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,73.0,143.0
Tamil Nadu,2009,68.0,408.0,258.0,156.0,1349.0,1505.0,20.0,1389.0,96.0,37.0,59.0,0.0,192.0,134.0,138.0,6.0,5.0,47.0,80.0,23.0,275.0,144.0
Haryana,2006,1014.0,407.0,989.0,334.0,2525.0,2859.0,59.0,2655.0,145.0,33.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,33.0,84.0
Odisha,2004,104.0,386.0,81.0,386.0,2081.0,2467.0,10.0,2379.0,78.0,13.0,65.0,0.0,132.0,0.0,13.0,0.0,1.0,9.0,3.0,71.0,106.0,107.0
Andhra Pradesh,2002,154.0,384.0,209.0,255.0,586.0,841.0,2.0,749.0,90.0,47.0,45.0,0.0,43.0,2.0,0.0,2.0,0.0,1.0,5.0,126.0,0.0,5.0
Karnataka,2008,181.0,380.0,264.0,164.0,873.0,1037.0,3.0,928.0,125.0,20.0,106.0,16.0,81.0,81.0,0.0,4.0,0.0,0.0,0.0,52.0,46.0,30.0
Haryana,2003,1097.0,366.0,1099.0,353.0,2284.0,2637.0,19.0,2546.0,72.0,27.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,74.0
Andhra Pradesh,2008,629.0,362.0,830.0,161.0,1091.0,1252.0,5.0,1017.0,230.0,151.0,79.0,0.0,0.0,0.0,0.0,4.0,1.0,45.0,29.0,0.0,0.0,62.0
Karnataka,2005,142.0,340.0,165.0,172.0,1043.0,1215.0,6.0,938.0,271.0,42.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,45.0,27.0
Haryana,2002,906.0,337.0,1097.0,137.0,2238.0,2375.0,23.0,2284.0,68.0,10.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,37.0,315.0
Haryana,2008,940.0,335.0,901.0,347.0,2532.0,2879.0,52.0,2605.0,222.0,46.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,24.0,15.0
Punjab,2006,523.0,329.0,330.0,423.0,1244.0,1667.0,23.0,1393.0,251.0,62.0,189.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,61.0
Andhra Pradesh,2009,830.0,323.0,895.0,258.0,1017.0,1275.0,3.0,1025.0,247.0,110.0,137.0,0.0,0.0,0.0,0.0,8.0,0.0,25.0,12.0,0.0,0.0,42.0
Karnataka,2006,165.0,318.0,250.0,183.0,938.0,1121.0,11.0,848.0,262.0,27.0,235.0,0.0,145.0,1.0,10.0,9.0,1.0,0.0,0.0,48.0,57.0,11.0
Tamil Nadu,2008,142.0,306.0,68.0,249.0,1292.0,1541.0,26.0,1349.0,166.0,63.0,103.0,0.0,266.0,140.0,0.0,13.0,2.0,27.0,47.0,15.0,138.0,106.0
Odisha,2002,75.0,300.0,65.0,257.0,1789.0,2046.0,16.0,1953.0,77.0,7.0,70.0,127.0,7.0,0.0,0.0,2.0,0.0,54.0,109.0,0.0,0.0,0.0
Andhra Pradesh,2005,443.0,300.0,498.0,245.0,1138.0,1383.0,2.0,1218.0,163.0,89.0,74.0,0.0,7.0,0.0,0.0,34.0,4.0,2.0,27.0,0.0,0.0,7.0
Madhya Pradesh,2003,476.0,296.0,0.0,208.0,747.0,955.0,4.0,811.0,140.0,64.0,72.0,0.0,31.0,0.0,31.0,0.0,0.0,0.0,0.0,21.0,45.0,11.0
Punjab,2007,330.0,296.0,212.0,329.0,1393.0,1722.0,49.0,1450.0,223.0,70.0,153.0,0.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,88.0
Tamil Nadu,2010,258.0,296.0,173.0,322.0,1389.0,1711.0,38.0,1418.0,255.0,31.0,224.0,0.0,187.0,206.0,97.0,12.0,4.0,29.0,52.0,5.0,226.0,90.0
Gujarat,2008,120.0,295.0,115.0,140.0,1028.0,1168.0,40.0,928.0,200.0,70.0,130.0,0.0,15.0,24.0,6.0,1.0,1.0,0.0,4.0,4.0,36.0,29.0
Andhra Pradesh,2007,533.0,292.0,629.0,196.0,1200.0,1396.0,7.0,1091.0,298.0,188.0,110.0,0.0,90.0,0.0,0.0,14.0,2.0,45.0,2.0,0.0,0.0,5.0
