Area_Name,Year,AC01_No_of_cases_pending_investigation_from_previous_year,AC02_No_of_cases_registered_during_the_year,AC03_Total_No_of_cases_for_investigation_during_the_year,AC04_No_of_cases_investigated_during_the_year,AC05_No_of_cases_not_investigatedor_in_which_investigation_was_dropped_due_to_any_reason_during_the_year,AC06_No_of_cases_transferred_to_local_police_during_the_year,AC07_No_of_cases_declared_false_mistake_of_fact_or_of_law_or_non_cognizable_or_civil_in_nature,AC08_No_of_cases_in_which_charge_sheets_were_laid_during_the_year,AC09_No_of_cases_pending_departmental_sanction_for_prosecution_during_the_year,AC10_No_of_cases_sent_up_for_trial_and_also_reported_for_departmental_action_during_the_year,AC11_No_of_cases_reported_for_regular_departmental_action_during_the_year,AC12_No_of_cases_reported_for_suitable_action_during_the_year,AC13_No_of_cases_in_which_charge_sheets_were_not_laid_but_final_report_submitted_during_the_year,AC14_No_of_cases_pending_investigation_at_the_end_of_the_year,AC15_No_of_cases_resulted_in_recoveries_or_seizures_during_the_year,AC16_Value_of_property_recoveredseized_during_the_year_in_Rs,AC17_Percentage_of_cases_charge_sheeted_to_total_cases_investigated,AC18_No_of_cases_pending_trial_from_the_previous_year,AC19_No_of_cases_sent_up_for_trial_during_the_year,AC20_Total_No_of_cases_for_trial_during_the_year,AC21_No_of_cases_withdrawn_or_other_wise_disposed_off_on_account_of_death_of_the_accused_during_the_year,AC22_No_of_cases_in_which_trials_were_completed_during_the_year,AC23_No_of_cases_convicted_during_the_year,AC24_No_of_cases_acquitted_or_discharged_during_the_year,AC25_No_of_cases_pending_trial_at_the_end_of_the_year,AC26_Percentage_of_cases_convicted_to_cases_in_which_trials_were_completed_during_the_year,AC27_Total_amount_of_fine_imposed_during_the_year_in_Rs
Karnataka,2010,696.0,434.0,1130.0,1124.0,0.0,6.0,52.0,322.0,190.0,204.0,30.0,78.0,129.0,720.0,295.0,21189878.0,27.5,984.0,322.0,1307.0,14.0,202.0,63.0,139.0,1105.0,31.2,3786500.0
Karnataka,2009,623.0,395.0,1018.0,1018.0,0.0,0.0,29.0,294.0,182.0,160.0,12.0,37.0,70.0,696.0,154.0,25136051.0,29.0,844.0,294.0,1138.0,10.0,153.0,27.0,116.0,985.0,18.8,206000.0
Karnataka,2008,330.0,389.0,719.0,719.0,10.0,12.0,32.0,164.0,119.0,81.0,4.0,81.0,70.0,623.0,370.0,59166948.0,22.9,805.0,164.0,969.0,3.0,122.0,17.0,105.0,844.0,13.1,281391.0
Karnataka,2005,142.0,313.0,455.0,455.0,5.0,1.0,0.0,172.0,81.0,0.0,0.0,0.0,0.0,196.0,39.0,19463623.0,0.0,683.0,172.0,855.0,6.0,271.0,42.0,229.0,578.0,0.0,1815431.0
Karnataka,2007,276.0,307.0,583.0,439.0,25.0,1.0,36.0,206.0,121.0,105.0,1.0,38.0,67.0,330.0,143.0,18445043.0,0.0,202.0,206.0,408.0,8.0,151.0,30.0,121.0,249.0,0.0,183500.0
Karnataka,2006,196.0,288.0,484.0,484.0,0.0,0.0,50.0,158.0,121.0,145.0,145.0,1.0,50.0,276.0,197.0,17693027.0,0.0,578.0,158.0,736.0,2.0,224.0,22.0,202.0,510.0,0.0,204400.0
Karnataka,2001,322.0,195.0,517.0,517.0,0.0,0.0,20.0,96.0,142.0,22.0,1.0,0.0,103.0,200.0,103.0,37800640.0,0.0,1127.0,96.0,1223.0,5.0,168.0,15.0,153.0,1050.0,0.0,50000.0
Karnataka,2002,200.0,151.0,351.0,351.0,0.0,2.0,19.0,129.0,81.0,45.0,16.0,0.0,59.0,140.0,151.0,6142703.0,0.0,1050.0,129.0,1179.0,8.0,120.0,8.0,112.0,1051.0,0.0,16500.0
Karnataka,2003,140.0,93.0,233.0,233.0,0.0,1.0,16.0,43.0,34.0,0.0,0.0,0.0,0.0,139.0,30.0,600250.0,0.0,1051.0,43.0,1094.0,20.0,186.0,19.0,167.0,888.0,0.0,312664.0
Karnataka,2004,139.0,77.0,216.0,216.0,4.0,1.0,2.0,60.0,82.0,0.0,7.0,0.0,0.0,142.0,77.0,91050.0,0.0,888.0,60.0,948.0,0.0,265.0,41.0,224.0,683.0,0.0,318500.0
