Area_Name,Year,AC01_No_of_cases_pending_investigation_from_previous_year,AC02_No_of_cases_registered_during_the_year,AC03_Total_No_of_cases_for_investigation_during_the_year,AC04_No_of_cases_investigated_during_the_year,AC05_No_of_cases_not_investigatedor_in_which_investigation_was_dropped_due_to_any_reason_during_the_year,AC06_No_of_cases_transferred_to_local_police_during_the_year,AC07_No_of_cases_declared_false_mistake_of_fact_or_of_law_or_non_cognizable_or_civil_in_nature,AC08_No_of_cases_in_which_charge_sheets_were_laid_during_the_year,AC09_No_of_cases_pending_departmental_sanction_for_prosecution_during_the_year,AC10_No_of_cases_sent_up_for_trial_and_also_reported_for_departmental_action_during_the_year,AC11_No_of_cases_reported_for_regular_departmental_action_during_the_year,AC12_No_of_cases_reported_for_suitable_action_during_the_year,AC13_No_of_cases_in_which_charge_sheets_were_not_laid_but_final_report_submitted_during_the_year,AC14_No_of_cases_pending_investigation_at_the_end_of_the_year,AC15_No_of_cases_resulted_in_recoveries_or_seizures_during_the_year,AC16_Value_of_property_recoveredseized_during_the_year_in_Rs,AC17_Percentage_of_cases_charge_sheeted_to_total_cases_investigated,AC18_No_of_cases_pending_trial_from_the_previous_year,AC19_No_of_cases_sent_up_for_trial_during_the_year,AC20_Total_No_of_cases_for_trial_during_the_year,AC21_No_of_cases_withdrawn_or_other_wise_disposed_off_on_account_of_death_of_the_accused_during_the_year,AC22_No_of_cases_in_which_trials_were_completed_during_the_year,AC23_No_of_cases_convicted_during_the_year,AC24_No_of_cases_acquitted_or_discharged_during_the_year,AC25_No_of_cases_pending_trial_at_the_end_of_the_year,AC26_Percentage_of_cases_convicted_to_cases_in_which_trials_were_completed_during_the_year,AC27_Total_amount_of_fine_imposed_during_the_year_in_Rs
Rajasthan,2010,740.0,576.0,1316.0,1316.0,0.0,0.0,0.0,281.0,196.0,126.0,126.0,48.0,70.0,965.0,225.0,1481450.0,0.0,1817.0,281.0,2098.0,8.0,57.0,11.0,46.0,2033.0,0.0,33750.0
Maharashtra,2010,724.0,528.0,1252.0,1252.0,2.0,0.0,4.0,446.0,250.0,1.0,37.0,0.0,26.0,780.0,155.0,28841870.0,0.0,2042.0,446.0,2488.0,5.0,366.0,68.0,298.0,2117.0,0.0,383000.0
Maharashtra,2003,509.0,521.0,1030.0,1030.0,3.0,3.0,1.0,479.0,237.0,0.0,2.0,0.0,44.0,520.0,154.0,9114731.0,0.0,2602.0,479.0,3081.0,5.0,396.0,113.0,283.0,2680.0,0.0,404600.0
Tamil Nadu,2009,347.0,498.0,845.0,845.0,0.0,0.0,0.0,156.0,90.0,67.0,115.0,19.0,243.0,492.0,182.0,10466646.0,0.0,308.0,156.0,464.0,13.0,52.0,26.0,26.0,399.0,0.0,149300.0
Maharashtra,2001,505.0,497.0,1002.0,1002.0,2.0,6.0,6.0,472.0,199.0,1.0,8.0,0.0,27.0,491.0,32.0,7993106.0,0.0,2321.0,472.0,2793.0,3.0,287.0,97.0,190.0,2503.0,0.0,1061500.0
Maharashtra,2002,491.0,478.0,969.0,969.0,2.0,1.0,1.0,440.0,198.0,1.0,5.0,0.0,18.0,509.0,9.0,28272096.0,0.0,2503.0,440.0,2943.0,11.0,329.0,88.0,241.0,2603.0,0.0,328350.0
Maharashtra,2006,536.0,476.0,1012.0,1012.0,0.0,0.0,1.0,334.0,176.0,0.0,16.0,0.0,19.0,682.0,181.0,9079519.0,0.0,2301.0,334.0,2635.0,4.0,408.0,102.0,306.0,2223.0,0.0,2333300.0
Maharashtra,2007,682.0,451.0,1133.0,1133.0,0.0,1.0,4.0,326.0,227.0,0.0,20.0,0.0,43.0,801.0,192.0,11702425.0,0.0,2223.0,326.0,2549.0,13.0,365.0,90.0,275.0,2171.0,0.0,823100.0
Punjab,2005,476.0,449.0,925.0,444.0,102.0,2.0,8.0,340.0,166.0,176.0,0.0,21.0,68.0,522.0,346.0,1317150.0,0.0,994.0,340.0,1334.0,32.0,189.0,80.0,109.0,1113.0,0.0,739000.0
Maharashtra,2004,520.0,446.0,966.0,966.0,0.0,0.0,4.0,460.0,206.0,0.0,2.0,0.0,66.0,471.0,183.0,9866815.0,0.0,2680.0,460.0,3140.0,22.0,557.0,168.0,389.0,2561.0,0.0,658900.0
Rajasthan,2001,1128.0,444.0,1572.0,1572.0,0.0,0.0,3.0,267.0,232.0,0.0,139.0,0.0,114.0,1191.0,216.0,553750.0,0.0,650.0,267.0,917.0,3.0,180.0,67.0,113.0,734.0,0.0,567000.0
Rajasthan,2002,1128.0,444.0,1572.0,1572.0,0.0,0.0,3.0,267.0,232.0,0.0,139.0,0.0,114.0,1191.0,216.0,753750.0,0.0,650.0,267.0,917.0,3.0,180.0,67.0,113.0,734.0,0.0,567000.0
Maharashtra,2005,471.0,437.0,908.0,908.0,0.0,1.0,0.0,368.0,213.0,0.0,12.0,0.0,25.0,536.0,172.0,7233542.0,0.0,2561.0,368.0,2929.0,11.0,617.0,159.0,458.0,2301.0,0.0,696800.0
Karnataka,2010,696.0,434.0,1130.0,1124.0,0.0,6.0,52.0,322.0,190.0,204.0,30.0,78.0,129.0,720.0,295.0,21189878.0,27.5,984.0,322.0,1307.0,14.0,202.0,63.0,139.0,1105.0,31.2,3786500.0
Odisha,2010,656.0,430.0,1086.0,1086.0,0.0,0.0,3.0,320.0,136.0,214.0,118.0,50.0,14.0,776.0,221.0,25527811.0,0.0,2623.0,320.0,2943.0,17.0,199.0,76.0,123.0,2727.0,0.0,637000.0
Maharashtra,2009,814.0,414.0,1228.0,1228.0,2.0,0.0,6.0,485.0,218.0,0.0,13.0,0.0,22.0,724.0,149.0,2922090.0,0.0,2042.0,485.0,2527.0,12.0,473.0,106.0,367.0,2042.0,0.0,727950.0
Karnataka,2009,623.0,395.0,1018.0,1018.0,0.0,0.0,29.0,294.0,182.0,160.0,12.0,37.0,70.0,696.0,154.0,25136051.0,29.0,844.0,294.0,1138.0,10.0,153.0,27.0,116.0,985.0,18.8,206000.0
