Area_Name,Year,EPC_Cases_Cases_Acquitted,EPC_Cases_Cases_Convicted,EPC_Cases_Cases_Pending_for_Trial,EPC_Cases_Registered,EPC_Cases_Trial_Completed,EPC_Escapees_Re_Arrested_from_Lockup,EPC_Escapees_Re_Arrested_from_Others,EPC_FR_Submitted,EPC_Persons_Awarded_more_than_3_Years_Imprisonment,EPC_Persons_Awarded_upto_3_Years_Imprisonment,EPC_Persons_Cases_Acquitted,EPC_Persons_Cases_Convicted,EPC_Persons_Cases_Pending_for_Trial,EPC_Persons_Chargesheeted_for_Escape,EPC_Persons_Escaped,EPC_Persons_Escaped_from_Lockup,EPC_Persons_Escaped_Outside_the_Lockup,EPC_Persons_Escaped_Total,EPC_Persons_Trial_Completed
Karnataka,2006,0.0,4.0,8.0,30.0,4.0,1.0,20.0,6.0,1.0,3.0,0.0,5.0,16.0,23.0,40.0,3.0,37.0,40.0,5.0
Karnataka,2005,0.0,3.0,10.0,29.0,3.0,1.0,14.0,6.0,1.0,2.0,0.0,3.0,11.0,13.0,31.0,3.0,28.0,31.0,3.0
Karnataka,2001,0.0,1.0,9.0,13.0,1.0,4.0,5.0,3.0,0.0,0.0,0.0,1.0,9.0,9.0,13.0,5.0,8.0,13.0,1.0
Karnataka,2004,1.0,1.0,7.0,18.0,2.0,3.0,8.0,9.0,0.0,1.0,1.0,1.0,9.0,11.0,21.0,3.0,18.0,21.0,2.0
Karnataka,2008,0.0,1.0,15.0,20.0,1.0,3.0,23.0,8.0,0.0,1.0,0.0,1.0,26.0,27.0,35.0,1.0,34.0,35.0,1.0
Karnataka,2009,0.0,1.0,11.0,23.0,1.0,4.0,14.0,3.0,0.0,1.0,0.0,1.0,14.0,18.0,35.0,4.0,31.0,35.0,1.0
Karnataka,2010,0.0,1.0,12.0,26.0,1.0,1.0,16.0,9.0,0.0,1.0,0.0,1.0,15.0,14.0,25.0,2.0,23.0,25.0,1.0
Karnataka,2002,0.0,0.0,17.0,21.0,0.0,5.0,28.0,6.0,0.0,0.0,0.0,0.0,29.0,28.0,36.0,2.0,34.0,36.0,0.0
Karnataka,2003,0.0,0.0,11.0,15.0,0.0,1.0,13.0,10.0,0.0,0.0,0.0,0.0,14.0,10.0,19.0,1.0,18.0,19.0,0.0
Karnataka,2007,1.0,0.0,15.0,34.0,1.0,2.0,19.0,7.0,0.0,2.0,1.0,0.0,16.0,21.0,38.0,2.0,36.0,38.0,1.0
