Area_Name,Year,EPC_Cases_Cases_Acquitted,EPC_Cases_Cases_Convicted,EPC_Cases_Cases_Pending_for_Trial,EPC_Cases_Registered,EPC_Cases_Trial_Completed,EPC_Escapees_Re_Arrested_from_Lockup,EPC_Escapees_Re_Arrested_from_Others,EPC_FR_Submitted,EPC_Persons_Awarded_more_than_3_Years_Imprisonment,EPC_Persons_Awarded_upto_3_Years_Imprisonment,EPC_Persons_Cases_Acquitted,EPC_Persons_Cases_Convicted,EPC_Persons_Cases_Pending_for_Trial,EPC_Persons_Chargesheeted_for_Escape,EPC_Persons_Escaped,EPC_Persons_Escaped_from_Lockup,EPC_Persons_Escaped_Outside_the_Lockup,EPC_Persons_Escaped_Total,EPC_Persons_Trial_Completed
Jharkhand,2005,235.0,66.0,1853.0,17.0,301.0,1747.0,7.0,188.0,3.0,2.0,671.0,236.0,3238.0,1252.0,12.0,5.0,7.0,12.0,907.0
Assam,2006,30.0,24.0,19.0,81.0,54.0,21.0,3.0,19.0,0.0,8.0,27.0,14.0,19.0,15.0,99.0,11.0,88.0,99.0,41.0
Andhra Pradesh,2009,68.0,22.0,38.0,96.0,90.0,13.0,51.0,18.0,5.0,2.0,146.0,32.0,30.0,45.0,96.0,8.0,88.0,96.0,178.0
Haryana,2006,7.0,20.0,76.0,33.0,27.0,7.0,26.0,9.0,0.0,8.0,15.0,26.0,172.0,21.0,36.0,8.0,28.0,36.0,41.0
Assam,2005,30.0,19.0,15.0,70.0,49.0,17.0,1.0,16.0,0.0,6.0,22.0,12.0,16.0,12.0,88.0,10.0,78.0,88.0,34.0
Chhattisgarh,2004,17.0,18.0,5.0,24.0,35.0,1.0,25.0,11.0,0.0,0.0,23.0,19.0,6.0,24.0,21.0,1.0,20.0,21.0,42.0
Tamil Nadu,2005,,18.0,23.0,57.0,18.0,12.0,50.0,43.0,0.0,19.0,,19.0,25.0,46.0,73.0,18.0,55.0,73.0,19.0
Madhya Pradesh,2006,6.0,16.0,118.0,150.0,22.0,34.0,118.0,35.0,0.0,13.0,6.0,17.0,114.0,130.0,181.0,26.0,155.0,181.0,23.0
Tamil Nadu,2004,1.0,15.0,35.0,70.0,16.0,20.0,52.0,19.0,0.0,14.0,1.0,16.0,39.0,54.0,82.0,7.0,75.0,82.0,17.0
Uttar Pradesh,2007,,15.0,79.0,100.0,15.0,1.0,83.0,24.0,0.0,15.0,,15.0,79.0,94.0,118.0,4.0,114.0,118.0,15.0
Tamil Nadu,2003,0.0,14.0,36.0,74.0,14.0,17.0,54.0,54.0,0.0,13.0,0.0,14.0,45.0,65.0,89.0,17.0,72.0,89.0,14.0
Haryana,2001,3.0,13.0,78.0,41.0,16.0,7.0,25.0,11.0,24.0,29.0,27.0,26.0,169.0,33.0,47.0,4.0,43.0,47.0,53.0
Meghalaya,2007,7.0,13.0,5.0,11.0,20.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,11.0,4.0,7.0,11.0,1.0
Andhra Pradesh,2010,2.0,13.0,48.0,82.0,15.0,8.0,53.0,8.0,1.0,8.0,2.0,13.0,52.0,61.0,93.0,8.0,85.0,93.0,15.0
Andhra Pradesh,2003,0.0,12.0,52.0,96.0,12.0,32.0,53.0,15.0,0.0,12.0,0.0,12.0,52.0,58.0,109.0,29.0,80.0,109.0,12.0
Assam,2007,19.0,12.0,27.0,66.0,31.0,24.0,6.0,13.0,0.0,11.0,39.0,19.0,27.0,48.0,60.0,7.0,53.0,60.0,58.0
Tamil Nadu,2007,,12.0,23.0,54.0,12.0,16.0,39.0,35.0,0.0,13.0,,13.0,32.0,45.0,73.0,25.0,48.0,73.0,13.0
Tamil Nadu,2006,,11.0,20.0,45.0,11.0,5.0,52.0,31.0,,22.0,,22.0,21.0,43.0,68.0,5.0,63.0,68.0,22.0
Maharashtra,2008,10.0,11.0,616.0,98.0,21.0,15.0,75.0,17.0,1.0,17.0,14.0,18.0,1033.0,60.0,130.0,34.0,96.0,130.0,32.0
Assam,2010,10.0,10.0,144.0,52.0,20.0,,,,0.0,0.0,24.0,9.0,,,56.0,9.0,47.0,56.0,33.0
Madhya Pradesh,2003,2.0,9.0,130.0,156.0,11.0,12.0,125.0,45.0,3.0,12.0,2.0,10.0,153.0,138.0,191.0,17.0,174.0,191.0,12.0
Andhra Pradesh,2004,2.0,9.0,43.0,95.0,11.0,19.0,54.0,4.0,1.0,8.0,2.0,9.0,59.0,56.0,117.0,16.0,101.0,117.0,11.0
Assam,2004,6.0,9.0,9.0,26.0,15.0,0.0,18.0,0.0,0.0,4.0,7.0,5.0,6.0,17.0,26.0,1.0,25.0,26.0,12.0
Madhya Pradesh,2004,0.0,9.0,106.0,135.0,9.0,25.0,106.0,37.0,13.0,36.0,0.0,8.0,102.0,129.0,168.0,28.0,140.0,168.0,8.0
Rajasthan,2004,,9.0,61.0,80.0,9.0,20.0,67.0,10.0,,,,9.0,78.0,87.0,112.0,23.0,89.0,112.0,9.0
Uttar Pradesh,2004,0.0,9.0,57.0,134.0,9.0,5.0,25.0,1.0,2.0,7.0,0.0,11.0,74.0,102.0,154.0,34.0,120.0,154.0,11.0
Andhra Pradesh,2007,2.0,9.0,46.0,96.0,11.0,24.0,59.0,15.0,0.0,4.0,2.0,12.0,48.0,58.0,118.0,8.0,110.0,118.0,14.0
Himachal Pradesh,2001,1.0,8.0,6.0,12.0,9.0,5.0,6.0,8.0,0.0,10.0,1.0,9.0,11.0,14.0,13.0,5.0,8.0,13.0,10.0
Maharashtra,2003,7.0,8.0,150.0,117.0,15.0,54.0,62.0,91.0,1.0,8.0,7.0,11.0,200.0,105.0,146.0,38.0,108.0,146.0,18.0
Tamil Nadu,2008,2.0,8.0,24.0,47.0,10.0,7.0,30.0,34.0,,9.0,2.0,9.0,25.0,36.0,51.0,10.0,41.0,51.0,11.0
Assam,2001,19.0,7.0,9.0,35.0,26.0,3.0,24.0,10.0,0.0,0.0,3.0,3.0,6.0,29.0,35.0,14.0,21.0,35.0,6.0
Madhya Pradesh,2002,4.0,7.0,106.0,125.0,11.0,50.0,114.0,28.0,0.0,1.0,5.0,7.0,124.0,111.0,203.0,58.0,145.0,203.0,12.0
Assam,2009,6.0,7.0,109.0,44.0,13.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,0.0,4.0,56.0,7.0,49.0,56.0,20.0
Madhya Pradesh,2009,0.0,7.0,114.0,140.0,7.0,29.0,114.0,121.0,5.0,3.0,0.0,8.0,136.0,144.0,168.0,36.0,132.0,168.0,8.0
Maharashtra,2009,15.0,7.0,583.0,98.0,22.0,4.0,62.0,8.0,0.0,8.0,18.0,8.0,999.0,45.0,103.0,10.0,93.0,103.0,26.0
Tamil Nadu,2009,0.0,7.0,22.0,39.0,7.0,8.0,23.0,29.0,0.0,7.0,0.0,7.0,22.0,29.0,39.0,8.0,31.0,39.0,7.0
Tamil Nadu,2010,1.0,7.0,25.0,44.0,8.0,8.0,29.0,28.0,0.0,8.0,1.0,7.0,27.0,30.0,48.0,8.0,40.0,48.0,8.0
Maharashtra,2001,8.0,6.0,134.0,94.0,14.0,37.0,50.0,10.0,1.0,5.0,10.0,6.0,156.0,84.0,125.0,42.0,83.0,125.0,16.0
Mizoram,2001,0.0,6.0,6.0,14.0,6.0,4.0,7.0,1.0,3.0,1.0,0.0,6.0,6.0,12.0,14.0,4.0,10.0,14.0,6.0
Assam,2002,9.0,6.0,14.0,29.0,15.0,1.0,8.0,0.0,0.0,6.0,5.0,1.0,3.0,15.0,29.0,1.0,28.0,29.0,6.0
Haryana,2003,3.0,6.0,20.0,29.0,9.0,18.0,17.0,16.0,21.0,22.0,26.0,17.0,86.0,59.0,42.0,18.0,24.0,42.0,43.0
Uttar Pradesh,2003,3.0,6.0,68.0,134.0,9.0,21.0,66.0,3.0,3.0,5.0,4.0,8.0,85.0,124.0,150.0,54.0,96.0,150.0,12.0
Andhra Pradesh,2005,0.0,6.0,51.0,89.0,6.0,13.0,46.0,8.0,3.0,9.0,0.0,11.0,52.0,63.0,101.0,4.0,97.0,101.0,11.0
Haryana,2005,7.0,6.0,73.0,41.0,13.0,7.0,35.0,14.0,1.0,5.0,16.0,9.0,175.0,44.0,59.0,3.0,56.0,59.0,25.0
Andhra Pradesh,2006,2.0,6.0,59.0,113.0,8.0,11.0,66.0,2.0,0.0,6.0,3.0,6.0,59.0,69.0,121.0,22.0,99.0,121.0,9.0
Himachal Pradesh,2006,3.0,6.0,16.0,12.0,9.0,1.0,10.0,6.0,0.0,4.0,3.0,6.0,16.0,30.0,10.0,0.0,10.0,10.0,9.0
Andhra Pradesh,2008,1.0,6.0,40.0,77.0,7.0,6.0,54.0,14.0,1.0,4.0,1.0,6.0,41.0,41.0,92.0,5.0,87.0,92.0,7.0
Assam,2008,6.0,6.0,117.0,37.0,12.0,0.0,44.0,3.0,0.0,0.0,17.0,7.0,140.0,12.0,47.0,4.0,43.0,47.0,24.0
Kerala,2008,1.0,6.0,28.0,54.0,7.0,8.0,34.0,35.0,,6.0,1.0,6.0,35.0,42.0,64.0,8.0,56.0,64.0,7.0
Kerala,2001,4.0,5.0,24.0,54.0,9.0,37.0,8.0,6.0,,5.0,2.0,5.0,33.0,39.0,63.0,7.0,56.0,63.0,7.0
Nagaland,2001,0.0,5.0,1.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,4.0,0.0,4.0,4.0,5.0
Tamil Nadu,2001,7.0,5.0,29.0,75.0,12.0,2.0,55.0,18.0,0.0,8.0,6.0,7.0,44.0,41.0,86.0,3.0,83.0,86.0,13.0
Maharashtra,2005,3.0,5.0,174.0,140.0,8.0,17.0,88.0,102.0,1.0,5.0,3.0,6.0,210.0,101.0,158.0,23.0,135.0,158.0,9.0
Himachal Pradesh,2007,1.0,5.0,15.0,17.0,6.0,0.0,15.0,12.0,0.0,3.0,11.0,17.0,16.0,13.0,19.0,0.0,19.0,19.0,28.0
Maharashtra,2007,12.0,5.0,602.0,127.0,17.0,31.0,93.0,18.0,0.0,6.0,13.0,6.0,1081.0,86.0,155.0,52.0,103.0,155.0,19.0
Madhya Pradesh,2008,0.0,5.0,99.0,115.0,5.0,34.0,77.0,30.0,0.0,6.0,0.0,5.0,113.0,103.0,144.0,39.0,105.0,144.0,5.0
Punjab,2008,,5.0,43.0,73.0,5.0,5.0,49.0,28.0,,1.0,,5.0,54.0,40.0,83.0,6.0,77.0,83.0,5.0
Andhra Pradesh,2001,7.0,4.0,37.0,58.0,11.0,22.0,26.0,5.0,0.0,3.0,7.0,4.0,37.0,48.0,71.0,30.0,41.0,71.0,11.0
Goa,2001,,4.0,2.0,8.0,4.0,,8.0,,,5.0,,5.0,2.0,7.0,9.0,,9.0,9.0,5.0
