Area_Name,Year,Victims_of_Murder_by_Fire_arms,Victims_of_Murder_by_Licensed_arms,Victims_of_Murder_by_Un_licensedImprovisedCrudeCountry_made_Arms_Etc
Uttar Pradesh,2004,4969,437.0,4532.0
Uttar Pradesh,2002,4098,403.0,3695.0
Uttar Pradesh,2006,2565,330.0,2235.0
Uttar Pradesh,2003,3855,317.0,3538.0
Uttar Pradesh,2008,1470,261.0,1209.0
Uttar Pradesh,2005,2144,257.0,1887.0
Uttar Pradesh,2007,1841,225.0,1616.0
Uttar Pradesh,2001,2368,206.0,2162.0
Uttar Pradesh,2009,917,172.0,745.0
Jharkhand,2007,461,120.0,341.0
Uttar Pradesh,2010,892,114.0,778.0
Bihar,2004,1058,107.0,951.0
Jammu & Kashmir,2008,181,94.0,87.0
Assam,2002,215,77.0,138.0
Punjab,2002,213,75.0,138.0
Madhya Pradesh,2008,197,74.0,123.0
Punjab,2004,81,72.0,9.0
Punjab,2006,71,71.0,
Punjab,2001,227,70.0,157.0
Madhya Pradesh,2004,243,67.0,176.0
Madhya Pradesh,2001,305,65.0,240.0
Punjab,2010,73,65.0,8.0
Madhya Pradesh,2005,268,61.0,207.0
Bihar,2003,1381,60.0,1321.0
Madhya Pradesh,2003,177,60.0,117.0
Punjab,2007,62,58.0,4.0
Bihar,2002,1413,55.0,1358.0
Punjab,2005,62,54.0,8.0
Madhya Pradesh,2007,213,54.0,159.0
Madhya Pradesh,2002,210,50.0,160.0
Madhya Pradesh,2006,232,49.0,183.0
Punjab,2008,54,48.0,6.0
Madhya Pradesh,2009,159,48.0,111.0
Punjab,2009,51,46.0,5.0
Bihar,2005,1095,45.0,1050.0
Punjab,2003,53,44.0,9.0
Madhya Pradesh,2010,191,43.0,148.0
Rajasthan,2002,98,42.0,56.0
Bihar,2001,1568,41.0,1527.0
Rajasthan,2003,94,41.0,53.0
Jharkhand,2002,181,39.0,142.0
Rajasthan,2004,77,36.0,41.0
Rajasthan,2001,224,34.0,190.0
Rajasthan,2007,83,29.0,54.0
Haryana,2009,157,29.0,128.0
Bihar,2007,955,28.0,927.0
Chhattisgarh,2005,193,27.0,166.0
Jammu & Kashmir,2001,1388,25.0,1363.0
Chhattisgarh,2001,338,24.0,314.0
Assam,2001,259,23.0,236.0
Haryana,2002,122,23.0,99.0
Haryana,2006,141,23.0,118.0
Haryana,2001,127,22.0,105.0
Jammu & Kashmir,2006,586,22.0,564.0
Haryana,2005,193,19.0,174.0
Bihar,2006,1082,19.0,1063.0
Rajasthan,2010,65,19.0,46.0
Andhra Pradesh,2001,58,18.0,40.0
Haryana,2004,116,18.0,98.0
Rajasthan,2006,76,17.0,59.0
Haryana,2007,132,17.0,115.0
Haryana,2010,143,17.0,126.0
Haryana,2003,149,15.0,134.0
Jharkhand,2008,467,15.0,452.0
Jammu & Kashmir,2004,875,14.0,861.0
Jammu & Kashmir,2009,57,14.0,43.0
Karnataka,2003,17,13.0,4.0
Andhra Pradesh,2005,187,13.0,174.0
Rajasthan,2005,74,13.0,61.0
Delhi,2007,40,13.0,27.0
Bihar,2008,622,13.0,609.0
Haryana,2008,116,13.0,103.0
West Bengal,2002,168,12.0,156.0
Delhi,2005,34,12.0,22.0
Manipur,2006,173,12.0,161.0
Delhi,2008,73,12.0,61.0
Rajasthan,2008,77,12.0,65.0
Rajasthan,2009,71,12.0,59.0
Delhi,2001,58,11.0,47.0
Maharashtra,2003,64,11.0,53.0
Uttarakhand,2003,108,10.0,98.0
Jammu & Kashmir,2007,295,10.0,285.0
Bihar,2010,694,10.0,684.0
Jammu & Kashmir,2010,87,10.0,77.0
Maharashtra,2002,55,9.0,46.0
Gujarat,2005,22,9.0,13.0
Karnataka,2005,11,9.0,2.0
Bihar,2009,718,9.0,709.0
Uttarakhand,2001,98,8.0,90.0
Gujarat,2002,56,8.0,48.0
