Area_Name,Year,Sub_Group_Name,Education_Above_Primary_but_below_Matric_or_Higher_Secondary,Education_Illiterate,Education_Matric_or_Higher_Secondary_&_above,Education_Total,Education_Upto_primary
Karnataka,2001,1. Education,91,566,19,843,167
Karnataka,2002,1. Education,64,116,5,277,92
Karnataka,2003,1. Education,104,80,52,358,122
Karnataka,2004,1. Education,96,172,25,440,147
Karnataka,2005,1. Education,44,96,7,242,95
Karnataka,2006,1. Education,417,77,62,659,103
Karnataka,2007,1. Education,419,50,60,617,88
Karnataka,2008,1. Education,95,162,77,515,181
Karnataka,2009,1. Education,88,54,58,282,82
Karnataka,2010,1. Education,35,63,37,204,69
