Area_Name,Year,Sub_Group_Name,Family_back_ground_Homeless,Family_back_ground_Living_with_guardian,Family_back_ground_Living_with_parents,Family_back_ground_Total
Karnataka,2001,3. Family Background,39,111,693,843
Karnataka,2002,3. Family Background,12,35,230,277
Karnataka,2003,3. Family Background,79,82,197,358
Karnataka,2004,3. Family Background,16,94,330,440
Karnataka,2005,3. Family Background,19,12,211,242
Karnataka,2006,3. Family Background,26,51,582,659
Karnataka,2007,3. Family Background,24,81,512,617
Karnataka,2008,3. Family Background,4,79,432,515
Karnataka,2009,3. Family Background,10,27,245,282
Karnataka,2010,3. Family Background,8,27,169,204
