STATE/UT,Year,CRIME,Boys 7-12 Years,Girls 7-12 Years,Boys 12-16 Years,Girls 12-16 Years,Boys 16-18 Years,Girls 16-18 Years,Total for boys all Age Groups,Total for girls all Age Groups,Grand total
0.0,2001,0.0,3,0,7,0,5,0,15,0,15
0.0,2001,0.0,2,0,0,0,11,0,13,0,13
0.0,2001,0.0,0,0,0,0,0,0,0,0,0
0.0,2001,0.0,2,0,15,0,2,1,19,1,20
0.0,2001,0.0,0,0,0,0,0,0,0,0,0
0.0,2001,0.0,2,0,15,0,2,1,19,1,20
0.0,2001,0.0,3,0,3,0,0,0,6,0,6
0.0,2001,0.0,0,0,0,0,0,0,0,0,0
0.0,2001,0.0,3,0,3,0,0,0,6,0,6
0.0,2001,0.0,0,0,0,0,0,0,0,0,0
0.0,2001,0.0,0,0,0,0,0,0,0,0,0
0.0,2001,0.0,0,0,4,1,5,0,9,1,10
0.0,2001,0.0,25,0,144,0,85,7,254,7,261
0.0,2001,0.0,69,4,294,0,146,39,509,43,552
0.0,2001,0.0,0,0,16,0,26,0,42,0,42
0.0,2001,0.0,69,4,278,0,120,39,467,43,510
0.0,2001,0.0,0,0,3,0,29,0,32,0,32
0.0,2001,0.0,0,0,0,0,0,0,0,0,0
0.0,2001,0.0,0,0,0,0,0,0,0,0,0
0.0,2001,0.0,0,0,0,0,0,0,0,0,0
0.0,2001,0.0,0,0,1,0,0,0,1,0,1
0.0,2001,0.0,8,0,60,3,233,18,301,21,322
0.0,2001,0.0,0,0,0,0,0,0,0,0,0
0.0,2001,0.0,0,0,4,0,23,0,27,0,27
0.0,2001,0.0,0,0,10,0,15,0,25,0,25
0.0,2001,0.0,0,0,1,1,1,1,2,2,4
0.0,2001,0.0,0,0,0,0,0,0,0,0,0
0.0,2001,0.0,0,0,3,0,1,0,4,0,4
0.0,2001,0.0,0,0,18,0,113,2,131,2,133
0.0,2001,0.0,112,4,567,5,669,68,1348,77,1425
0.0,2002,0.0,2,0,16,1,3,1,21,2,23
0.0,2002,0.0,2,0,5,0,0,0,7,0,7
0.0,2002,0.0,0,0,0,0,0,0,0,0,0
0.0,2002,0.0,7,0,20,2,6,2,33,4,37
0.0,2002,0.0,0,0,0,0,0,0,0,0,0
0.0,2002,0.0,7,0,20,2,6,2,33,4,37
0.0,2002,0.0,0,0,2,0,5,4,7,4,11
0.0,2002,0.0,0,0,2,0,0,0,2,0,2
0.0,2002,0.0,0,0,0,0,5,4,5,4,9
0.0,2002,0.0,0,0,2,0,0,0,2,0,2
0.0,2002,0.0,0,0,0,0,0,0,0,0,0
0.0,2002,0.0,0,0,1,0,4,1,5,1,6
0.0,2002,0.0,32,0,111,6,30,17,173,23,196
0.0,2002,0.0,34,3,191,12,165,50,390,65,455
0.0,2002,0.0,0,0,16,2,45,16,61,18,79
0.0,2002,0.0,34,3,175,10,120,34,329,47,376
0.0,2002,0.0,0,0,6,0,21,0,27,0,27
0.0,2002,0.0,0,0,0,1,0,0,0,1,1
0.0,2002,0.0,0,0,1,0,1,2,2,2,4
0.0,2002,0.0,0,0,0,0,0,2,0,2,2
0.0,2002,0.0,0,0,1,0,2,0,3,0,3
0.0,2002,0.0,10,1,102,0,197,24,309,25,334
0.0,2002,0.0,0,0,0,0,0,3,0,3,3
0.0,2002,0.0,1,0,5,0,17,1,23,1,24
0.0,2002,0.0,0,0,6,0,10,0,16,0,16
0.0,2002,0.0,0,0,0,2,0,16,0,18,18
0.0,2002,0.0,0,0,0,0,0,0,0,0,0
0.0,2002,0.0,0,0,1,0,1,0,2,0,2
0.0,2002,0.0,24,1,73,13,178,6,275,20,295
0.0,2002,0.0,112,5,543,37,640,129,1295,171,1466
0.0,2003,0.0,1,0,13,2,22,2,36,4,40
0.0,2003,0.0,1,0,2,0,19,0,22,0,22
0.0,2003,0.0,1,0,0,0,1,0,2,0,2
0.0,2003,0.0,2,0,31,0,23,0,56,0,56
0.0,2003,0.0,0,0,0,0,0,0,0,0,0
0.0,2003,0.0,2,0,31,0,23,0,56,0,56
0.0,2003,0.0,0,0,12,1,13,1,25,2,27
0.0,2003,0.0,0,0,10,1,9,0,19,1,20
0.0,2003,0.0,0,0,2,0,4,1,6,1,7
0.0,2003,0.0,1,0,2,0,8,0,11,0,11
0.0,2003,0.0,0,0,0,0,0,0,0,0,0
0.0,2003,0.0,0,0,0,0,13,0,13,0,13
0.0,2003,0.0,12,0,122,0,126,9,260,9,269
0.0,2003,0.0,20,0,135,13,312,23,467,36,503
0.0,2003,0.0,3,0,20,0,44,0,67,0,67
0.0,2003,0.0,17,0,115,13,268,23,400,36,436
0.0,2003,0.0,0,0,8,0,95,2,103,2,105
0.0,2003,0.0,0,0,0,0,0,0,0,0,0
0.0,2003,0.0,1,0,1,0,7,0,9,0,9
0.0,2003,0.0,0,0,0,0,1,0,1,0,1
0.0,2003,0.0,0,0,0,0,6,0,6,0,6
0.0,2003,0.0,3,0,62,13,269,18,334,31,365
0.0,2003,0.0,0,0,2,0,1,0,3,0,3
0.0,2003,0.0,1,0,15,0,38,0,54,0,54
0.0,2003,0.0,0,0,5,0,61,1,66,1,67
0.0,2003,0.0,0,0,2,1,5,4,7,5,12
0.0,2003,0.0,0,0,0,0,0,0,0,0,0
0.0,2003,0.0,0,0,0,0,13,0,13,0,13
0.0,2003,0.0,3,0,30,0,183,48,216,48,264
0.0,2003,0.0,46,0,442,30,1216,108,1704,138,1842
0.0,2004,0.0,0,0,8,0,16,2,24,2,26
0.0,2004,0.0,0,0,7,1,1,0,8,1,9
0.0,2004,0.0,0,0,1,0,0,0,1,0,1
0.0,2004,0.0,1,0,22,0,22,1,45,1,46
0.0,2004,0.0,0,0,0,0,0,0,0,0,0
0.0,2004,0.0,1,0,22,0,22,1,45,1,46
0.0,2004,0.0,0,0,5,0,5,0,10,0,10
0.0,2004,0.0,0,0,5,0,4,0,9,0,9
0.0,2004,0.0,0,0,0,0,1,0,1,0,1
0.0,2004,0.0,0,0,1,0,0,0,1,0,1
0.0,2004,0.0,0,0,0,0,0,0,0,0,0
0.0,2004,0.0,0,0,4,4,1,0,5,4,9
0.0,2004,0.0,22,1,132,3,98,3,252,7,259
0.0,2004,0.0,24,0,189,12,373,29,586,41,627
0.0,2004,0.0,1,0,18,0,61,0,80,0,80
0.0,2004,0.0,23,0,171,12,312,29,506,41,547
0.0,2004,0.0,0,0,4,0,25,0,29,0,29
0.0,2004,0.0,0,0,2,0,1,0,3,0,3
0.0,2004,0.0,0,0,0,0,3,0,3,0,3
0.0,2004,0.0,0,0,0,0,0,0,0,0,0
0.0,2004,0.0,1,0,2,0,1,0,4,0,4
0.0,2004,0.0,4,0,35,9,108,5,147,14,161
0.0,2004,0.0,0,0,1,0,0,0,1,0,1
0.0,2004,0.0,0,0,8,0,9,0,17,0,17
0.0,2004,0.0,0,0,4,0,21,0,25,0,25
0.0,2004,0.0,0,0,1,0,3,4,4,4,8
0.0,2004,0.0,0,0,0,0,0,0,0,0,0
0.0,2004,0.0,0,0,1,0,0,0,1,0,1
0.0,2004,0.0,2,1,16,1,44,0,62,2,64
0.0,2004,0.0,54,2,443,30,731,44,1228,76,1304
0.0,2005,0.0,3,0,15,3,10,0,28,3,31
0.0,2005,0.0,0,0,0,0,1,0,1,0,1
0.0,2005,0.0,0,0,2,0,0,0,2,0,2
0.0,2005,0.0,2,0,16,1,23,1,41,2,43
0.0,2005,0.0,0,0,0,0,0,0,0,0,0
0.0,2005,0.0,2,0,16,1,23,1,41,2,43
0.0,2005,0.0,1,0,3,3,12,1,16,4,20
0.0,2005,0.0,1,0,1,2,5,0,7,2,9
0.0,2005,0.0,0,0,2,1,7,1,9,2,11
0.0,2005,0.0,0,0,2,0,0,3,2,3,5
0.0,2005,0.0,0,0,0,0,0,0,0,0,0
0.0,2005,0.0,0,0,7,0,12,0,19,0,19
0.0,2005,0.0,30,0,141,1,106,2,277,3,280
0.0,2005,0.0,32,1,237,4,294,36,563,41,604
0.0,2005,0.0,0,0,40,0,84,0,124,0,124
0.0,2005,0.0,32,1,197,4,210,36,439,41,480
0.0,2005,0.0,0,0,3,0,42,4,45,4,49
0.0,2005,0.0,0,0,0,0,0,0,0,0,0
0.0,2005,0.0,0,0,3,0,6,0,9,0,9
0.0,2005,0.0,0,0,0,0,0,0,0,0,0
0.0,2005,0.0,0,0,0,0,0,0,0,0,0
