DISTRICT_CENSUS,DISTRICT,POPULATION,POP_MALE,POP_FEMALE,POP_URBAN,POP_RURAL,POP_SC,POP_ST,LITERATE,WORKERS_TOTAL,LITERACY_RATE,SEX_RATIO,URBANIZATION_RATE,SC_PERCENTAGE,ST_PERCENTAGE,WORKER_PARTICIPATION,VULNERABILITY_INDEX
Belgaum,BELGAUM,4779661,2423063,2356598,0,0,577418,297198,3052032,2105668,63.85,972.6,0.0,12.08,6.22,44.05,49.95
Bagalkot,BAGALKOT,1889752,950111,939641,0,0,319149,97203,1113412,818081,58.92,989.0,0.0,16.89,5.14,43.29,53.04
Bijapur,BIJAPUR,2177331,1111022,1066309,0,0,442773,39314,1248268,927722,57.33,959.8,0.0,20.34,1.81,42.61,53.71
Bidar,BIDAR,1703300,870665,832635,0,0,399785,235822,1042673,702608,61.21,956.3,0.0,23.47,13.85,41.25,56.71
Raichur,RAICHUR,1928812,964511,964301,0,0,400933,367071,979769,903413,50.8,999.8,0.0,20.79,19.03,46.84,61.63
Koppal,KOPPAL,1389920,699926,689994,0,0,258608,164271,809085,654766,58.21,985.8,0.0,18.61,11.82,47.11,55.84
Gadag,GADAG,1064570,537147,527423,0,0,174196,61654,700177,495722,65.77,981.9,0.0,16.36,5.79,46.57,50.34
Dharwad,DHARWAD,1847023,937206,909817,0,0,177855,87548,1301664,784833,70.47,970.8,0.0,9.63,4.74,42.49,46.12
Uttara Kannada,UTTARA KANNADA,1437169,726256,710913,0,0,116431,34239,1081906,608526,75.28,978.9,0.0,8.1,2.38,42.34,43.03
Haveri,HAVERI,1597668,819128,778540,0,0,219976,141380,1085443,730066,67.94,950.4,0.0,13.77,8.85,45.7,49.61
Bellary,BELLARY,2452595,1236954,1215641,0,0,517409,451406,1421621,1116880,57.96,982.8,0.0,21.1,18.41,45.54,58.66
Chitradurga,CHITRADURGA,1659456,840843,818613,0,0,389117,302554,1087392,856587,65.53,973.6,0.0,23.45,18.23,51.62,56.29
Davanagere,DAVANAGERE,1945497,986400,959097,0,0,392595,233112,1308540,875207,67.26,972.3,0.0,20.18,11.98,44.99,52.74
Shimoga,SHIMOGA,1752753,877415,875338,0,0,308158,65412,1263016,780598,72.06,997.6,0.0,17.58,3.73,44.54,47.57
Udupi,UDUPI,1177361,562131,615230,0,0,75429,52897,926429,513241,78.69,1094.5,0.0,6.41,4.49,43.59,41.8
Chikmagalur,CHIKMAGALUR,1137961,566622,571339,0,0,253651,44970,818345,565774,71.91,1008.3,0.0,22.29,3.95,49.72,49.11
Tumkur,TUMKUR,2678980,1350594,1328386,0,0,506901,209559,1813391,1354646,67.69,983.6,0.0,18.92,7.82,50.57,50.95
Bangalore,BANGALORE RURAL,9621551,5022661,4598890,0,0,1198385,190239,7512276,4246927,78.08,915.6,0.0,12.46,1.98,44.14,43.1
Mandya,MANDYA,1805769,905085,900684,0,0,265294,22402,1149649,871408,63.67,995.1,0.0,14.69,1.24,48.26,49.31
Hassan,HASSAN,1776421,883667,892754,0,0,345031,32329,1225256,903580,68.97,1010.3,0.0,19.42,1.82,50.87,48.78
Dakshina Kannada,DAKSHINA KANNADA,2089649,1034714,1054935,0,0,148178,82268,1666323,997721,79.74,1019.5,0.0,7.09,3.94,47.75,41.41
Kodagu,KODAGU,554519,274608,279911,0,0,73584,58054,412877,278938,74.46,1019.3,0.0,13.27,10.47,50.3,47.34
Mysore,MYSORE,3001127,1511600,1489527,0,0,536643,334547,1962180,1314268,65.38,985.4,0.0,17.88,11.15,43.79,52.56
Chamarajanagar,CHAMARAJNAGAR,1020791,512231,508560,0,0,259445,120219,565279,481693,55.38,992.8,0.0,25.42,11.78,47.19,59.01
Gulbarga,GULBARGA,2566326,1301755,1264571,0,0,648782,65259,1427368,1087028,55.62,971.4,0.0,25.28,2.54,42.36,56.1
Yadgir,YADGIR,1174271,590329,583942,0,0,273315,146849,510003,547696,43.43,989.2,0.0,23.28,12.51,46.64,63.36
Kolar,KOLAR,1536401,776396,760005,0,0,465867,78875,1016219,717872,66.14,978.9,0.0,30.32,5.13,46.72,54.18
Chikkaballapura,CHIKKABALLAPURA,1255104,636437,618667,0,0,312565,156487,783222,639778,62.4,972.1,0.0,24.9,12.47,50.97,56.25
Bangalore Rural,BANGALORE RURAL,990923,509172,481751,0,0,213700,52903,688749,459891,69.51,946.1,0.0,21.57,5.34,46.41,50.27
Ramanagara,RAMANAGARA,1082636,548008,534628,0,0,203819,22946,674758,531459,62.33,975.6,0.0,18.83,2.12,49.09,51.35
