Area_Name,Year,CHNAMurder_Cause_By_TerroristExtremist,CHNAMurder_Cause_Casteism,CHNAMurder_Cause_Class_Conflict,CHNAMurder_Cause_Communalism,CHNAMurder_Cause_Dowry,CHNAMurder_Cause_For_Political_reason,CHNAMurder_Cause_Gain,CHNAMurder_Cause_Love_AffairsSexual_Relations,CHNAMurder_Cause_Lunacy,CHNAMurder_Cause_Other_Causes_or_Motives,CHNAMurder_Cause_Personal_Vendetta_or_Enmity,CHNAMurder_Cause_Property_Dispute,CHNAMurder_Cause_Total,CHNAMurder_Cause_Witchcraft,Murder_Cause_By_TerroristExtremist,Murder_Cause_Casteism,Murder_Cause_Class_Conflict,Murder_Cause_Communalism,Murder_Cause_Dowry,Murder_Cause_For_Political_reason,Murder_Cause_Gain,Murder_Cause_Love_AffairsSexual_Relations,Murder_Cause_Lunacy,Murder_Cause_Other_Causes_or_Motives,Murder_Cause_Personal_Vendetta_or_Enmity,Murder_Cause_Property_Dispute,Murder_Cause_Total,Murder_Cause_Witchcraft
Karnataka,2002,0,1,0,0,0,0,0,1,0,53,0,0,55,0,0,1,0,4,52,6,55,130,0,1093,188,98,1627,0
Karnataka,2001,0,0,0,0,0,0,0,1,0,70,3,0,74,0,0,1,0,3,33,7,66,143,0,1142,140,91,1626,0
Karnataka,2003,0,0,0,0,0,0,0,1,0,57,0,0,58,0,0,6,0,3,34,4,48,134,0,1040,136,101,1506,0
Karnataka,2004,0,0,0,0,0,0,3,0,0,51,3,0,57,0,0,2,0,3,27,10,48,109,0,1115,130,75,1519,0
Karnataka,2005,0,0,0,0,0,0,80,0,0,0,0,0,80,0,0,3,0,3,44,11,37,114,0,1146,164,87,1609,0
Karnataka,2006,0,0,0,0,0,0,0,2,0,64,2,0,68,0,0,0,1,4,53,4,55,108,0,1188,132,82,1627,0
Karnataka,2007,0,0,0,0,0,0,2,0,0,51,1,1,55,0,0,0,0,0,56,3,47,100,0,1137,124,71,1538,0
Karnataka,2008,0,0,0,0,2,0,1,2,0,73,2,1,81,0,1,1,0,0,54,2,55,87,2,1299,113,83,1698,1
Karnataka,2009,0,0,0,0,0,0,2,0,0,77,0,0,79,0,0,0,0,0,65,1,102,106,0,1177,191,59,1702,1
Karnataka,2010,0,0,0,0,0,0,0,1,0,89,4,0,94,0,0,1,0,2,67,8,71,99,0,1367,118,71,1805,1
