Area_Name,Year,No_of_Cases_in_which_offenders_were_known_to_the_Victims,No_of_Cases_in_which_offenders_were_Neighbours,No_of_Cases_in_which_offenders_were_Other_Known_persons,No_of_Cases_in_which_offenders_were_Parentsclose_family_members,No_of_Cases_in_which_offenders_were_Relatives
Karnataka,2010,466,169,264,2,31
Karnataka,2008,347,117,210,0,20
Karnataka,2007,404,115,259,2,28
Karnataka,2005,298,100,164,5,29
Karnataka,2003,256,95,135,1,25
Karnataka,2006,315,95,183,2,35
Karnataka,2009,325,93,188,18,26
Karnataka,2004,217,92,96,7,22
Karnataka,2002,196,61,121,4,10
Karnataka,2001,183,54,100,5,24
