Area_Name,Year,Group_Name,Sub_Group_Name,Police_Injured_By_Criminals,Police_Injured_By_Riotous_Mobs,Police_Injured_In_Accidents,Police_Injured_In_Dacoity_OperationsOther_raids,Police_Injured_In_TerroristsExtremists_Operations,Police_Injured_On_Border_Duties,Police_Injured_Total_Policemen,Police_Killed_By_Criminals,Police_Killed_By_Riotous_Mobs,Police_Killed_In_Accidents,Police_Killed_In_Dacoity_OperationsOther_raids,Police_Killed_In_TerroristsExtremists_Operations,Police_Killed_On_Border_Duties,Police_Killed_Total_Policemen
Karnataka,2001,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,1,15,1,1,0,0,18,0,0,1,0,0,0,1
Karnataka,2002,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,0,19,4,1,0,0,24,1,0,0,0,0,0,1
Karnataka,2003,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,2,17,1,0,0,0,20,1,0,1,0,0,0,2
Karnataka,2004,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,2,4,3,0,0,0,9,3,0,1,0,0,0,4
Karnataka,2005,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,2,6,2,0,0,0,10,0,0,0,0,0,0,0
Karnataka,2006,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,1,8,4,5,0,0,18,0,0,1,0,0,0,1
Karnataka,2007,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,1,3,0,0,0,0,4,2,0,3,0,0,0,5
Karnataka,2008,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,1,9,4,0,0,0,14,0,1,0,1,0,1,3
Karnataka,2009,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,48,8,2,19,5,73,155,0,0,4,0,0,0,4
Karnataka,2010,Police - Assistant Sub-Inspectors,3. Assistant Sub-Inspectos,1,3,2,0,0,0,6,0,0,4,0,0,0,4
Karnataka,2001,Police - Constables,1. Constables,6,93,20,0,0,4,123,1,1,5,1,0,0,8
Karnataka,2002,Police - Constables,1. Constables,2,124,32,1,0,0,159,2,0,10,0,0,0,12
Karnataka,2003,Police - Constables,1. Constables,12,60,19,0,0,1,92,4,0,9,1,0,0,14
Karnataka,2004,Police - Constables,1. Constables,2,50,19,0,0,0,71,3,0,5,0,0,0,8
Karnataka,2005,Police - Constables,1. Constables,12,82,6,0,1,1,102,0,0,10,0,0,1,11
Karnataka,2006,Police - Constables,1. Constables,5,150,38,42,2,0,237,1,0,6,0,0,0,7
Karnataka,2007,Police - Constables,1. Constables,14,33,15,3,0,0,65,1,0,11,0,0,0,12
Karnataka,2008,Police - Constables,1. Constables,10,45,20,0,0,0,75,1,0,12,0,0,0,13
Karnataka,2009,Police - Constables,1. Constables,78,68,29,19,5,72,271,2,0,9,0,0,0,11
Karnataka,2010,Police - Constables,1. Constables,12,19,26,4,1,4,66,0,0,13,1,0,0,14
Karnataka,2001,Police - Head Constables,2. Head Constables,2,38,7,0,0,1,48,0,0,5,0,0,0,5
Karnataka,2002,Police - Head Constables,2. Head Constables,1,54,7,0,0,0,62,2,0,3,0,0,0,5
Karnataka,2003,Police - Head Constables,2. Head Constables,1,13,5,0,0,0,19,4,0,7,0,0,0,11
Karnataka,2004,Police - Head Constables,2. Head Constables,2,11,11,0,0,0,24,6,0,4,0,0,0,10
Karnataka,2005,Police - Head Constables,2. Head Constables,3,13,34,0,0,2,52,0,0,0,0,0,5,5
Karnataka,2006,Police - Head Constables,2. Head Constables,4,14,10,11,0,0,39,0,0,1,0,0,0,1
Karnataka,2007,Police - Head Constables,2. Head Constables,4,3,9,0,0,0,16,1,0,6,0,0,0,7
Karnataka,2008,Police - Head Constables,2. Head Constables,5,16,2,1,0,0,24,0,0,4,0,0,0,4
Karnataka,2009,Police - Head Constables,2. Head Constables,7,23,6,0,0,1,37,0,0,6,0,0,0,6
Karnataka,2010,Police - Head Constables,2. Head Constables,7,9,9,0,0,0,25,0,0,4,0,0,0,4
Karnataka,2001,Police - Inspectors,5. Inspectors,1,12,0,0,0,0,13,0,0,0,0,0,0,0
Karnataka,2002,Police - Inspectors,5. Inspectors,0,11,0,0,0,0,11,0,0,0,0,0,0,0
Karnataka,2003,Police - Inspectors,5. Inspectors,0,8,1,0,0,0,9,0,0,1,0,0,0,1
Karnataka,2004,Police - Inspectors,5. Inspectors,1,11,0,0,0,0,12,0,0,0,0,0,0,0
Karnataka,2005,Police - Inspectors,5. Inspectors,1,8,0,0,1,0,10,0,0,0,0,0,0,0
Karnataka,2006,Police - Inspectors,5. Inspectors,0,12,2,2,1,0,17,0,0,0,0,0,0,0
Karnataka,2007,Police - Inspectors,5. Inspectors,0,4,0,0,0,0,4,0,0,0,0,0,0,0
Karnataka,2008,Police - Inspectors,5. Inspectors,3,5,0,0,0,0,8,0,0,1,0,0,0,1
Karnataka,2009,Police - Inspectors,5. Inspectors,0,5,0,0,0,0,5,0,0,0,0,0,0,0
Karnataka,2010,Police - Inspectors,5. Inspectors,1,4,1,1,0,0,7,0,0,0,0,0,0,0
Karnataka,2001,Police - Other Gazetted Officers,6. Gazetted Officers,0,3,0,0,0,0,3,0,0,0,0,0,0,0
Karnataka,2002,Police - Other Gazetted Officers,6. Gazetted Officers,0,9,1,0,0,0,10,0,0,0,0,0,0,0
Karnataka,2003,Police - Other Gazetted Officers,6. Gazetted Officers,0,2,0,0,0,0,2,0,0,0,0,0,0,0
Karnataka,2004,Police - Other Gazetted Officers,6. Gazetted Officers,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Karnataka,2005,Police - Other Gazetted Officers,6. Gazetted Officers,0,2,0,0,0,0,2,0,0,0,0,0,0,0
Karnataka,2006,Police - Other Gazetted Officers,6. Gazetted Officers,0,8,0,4,0,0,12,0,0,0,0,0,0,0
Karnataka,2007,Police - Other Gazetted Officers,6. Gazetted Officers,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Karnataka,2008,Police - Other Gazetted Officers,6. Gazetted Officers,0,4,0,0,0,0,4,0,0,0,0,0,0,0
Karnataka,2009,Police - Other Gazetted Officers,6. Gazetted Officers,0,6,0,0,0,0,6,0,0,0,0,0,0,0
Karnataka,2010,Police - Other Gazetted Officers,6. Gazetted Officers,0,2,1,0,0,0,3,0,0,0,0,0,0,0
Karnataka,2001,Police - Sub-Inspectors,4. Sub-Inspectors,0,18,2,1,0,0,21,0,0,0,0,0,0,0
Karnataka,2002,Police - Sub-Inspectors,4. Sub-Inspectors,2,24,5,1,0,0,32,0,0,1,0,0,0,1
Karnataka,2003,Police - Sub-Inspectors,4. Sub-Inspectors,3,12,1,0,0,0,16,0,0,0,0,0,0,0
Karnataka,2004,Police - Sub-Inspectors,4. Sub-Inspectors,1,10,0,0,0,0,11,0,0,1,0,0,0,1
Karnataka,2005,Police - Sub-Inspectors,4. Sub-Inspectors,3,7,3,0,0,0,13,0,0,0,0,0,1,1
Karnataka,2006,Police - Sub-Inspectors,4. Sub-Inspectors,0,11,2,5,1,0,19,0,0,0,0,0,0,0
Karnataka,2007,Police - Sub-Inspectors,4. Sub-Inspectors,2,4,4,0,0,0,10,0,0,1,0,0,0,1
Karnataka,2008,Police - Sub-Inspectors,4. Sub-Inspectors,2,11,4,0,0,0,17,0,0,1,0,0,1,2
Karnataka,2009,Police - Sub-Inspectors,4. Sub-Inspectors,3,9,2,0,0,0,14,0,0,0,0,0,0,0
Karnataka,2010,Police - Sub-Inspectors,4. Sub-Inspectors,2,10,3,0,0,0,15,0,0,0,0,0,0,0
Karnataka,2001,Police - Total,7. Total Police Killed or Injured,10,179,30,2,0,5,226,1,1,11,1,0,0,14
Karnataka,2002,Police - Total,7. Total Police Killed or Injured,5,241,49,3,0,0,298,5,0,14,0,0,0,19
Karnataka,2003,Police - Total,7. Total Police Killed or Injured,18,112,27,0,0,1,158,9,0,18,1,0,0,28
Karnataka,2004,Police - Total,7. Total Police Killed or Injured,8,87,33,0,0,0,128,12,0,11,0,0,0,23
Karnataka,2005,Police - Total,7. Total Police Killed or Injured,21,118,45,0,2,3,189,0,0,10,0,0,7,17
Karnataka,2006,Police - Total,7. Total Police Killed or Injured,10,203,56,69,4,0,342,1,0,8,0,0,0,9
Karnataka,2007,Police - Total,7. Total Police Killed or Injured,21,47,29,3,0,0,100,4,0,21,0,0,0,25
Karnataka,2008,Police - Total,7. Total Police Killed or Injured,21,90,30,1,0,0,142,1,1,18,1,0,2,23
Karnataka,2009,Police - Total,7. Total Police Killed or Injured,136,119,39,38,10,146,488,2,0,19,0,0,0,21
Karnataka,2010,Police - Total,7. Total Police Killed or Injured,23,47,42,5,1,4,122,0,0,21,1,0,0,22
