Area_Name,Year,Group_Name,Sub_Group_Name,Cases_Property_Recovered,Cases_Property_Stolen,Value_of_Property_Recovered,Value_of_Property_Stolen
Karnataka,2001,Cattle - Property,2. Cattle,202,289,1663720,2522080
Karnataka,2002,Cattle - Property,2. Cattle,228,325,3105356,5143796
Karnataka,2003,Cattle - Property,2. Cattle,165,255,1314715,2631285
Karnataka,2004,Cattle - Property,2. Cattle,210,309,1769420,3365612
Karnataka,2005,Cattle - Property,2. Cattle,173,273,1978300,3158571
Karnataka,2006,Cattle - Property,2. Cattle,180,252,2264531,3451281
Karnataka,2007,Cattle - Property,2. Cattle,181,245,2191260,3643970
Karnataka,2008,Cattle - Property,2. Cattle,164,241,2517965,4877650
Karnataka,2009,Cattle - Property,2. Cattle,154,244,3071240,4863072
Karnataka,2010,Cattle - Property,2. Cattle,181,246,4361813,6089440
Karnataka,2001,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,179,701,961899,5345576
Karnataka,2002,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,171,783,2215421,28431932
Karnataka,2003,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,218,1147,2152610,11605453
Karnataka,2004,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,272,1109,3502210,18500363
Karnataka,2005,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,196,1009,6236920,29610338
Karnataka,2006,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,275,1079,7115373,24328781
Karnataka,2007,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,217,790,4723341,17308190
Karnataka,2008,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,177,636,2678855,14335359
Karnataka,2009,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,123,377,2245609,7883007
Karnataka,2010,Communication and Electricity Wire - Property,1. Communation and Electricity Wire,71,297,1396635,7452583
Karnataka,2001,Cultural Property including Antiques - Property,8. Cultural Property including Antiques,70,161,16251675,20348075
Karnataka,2002,Cultural Property including Antiques - Property,8. Cultural Property including Antiques,141,396,12438312,38968005
Karnataka,2003,Cultural Property including Antiques - Property,8. Cultural Property including Antiques,172,380,15798938,28179291
Karnataka,2004,Cultural Property including Antiques - Property,8. Cultural Property including Antiques,144,430,8547527,30308458
Karnataka,2005,Cultural Property including Antiques - Property,8. Cultural Property including Antiques,138,297,15646025,25123364
Karnataka,2006,Cultural Property including Antiques - Property,8. Cultural Property including Antiques,123,296,19336212,32168882
Karnataka,2007,Cultural Property including Antiques - Property,8. Cultural Property including Antiques,130,351,24368125,46370739
Karnataka,2008,Cultural Property including Antiques - Property,8. Cultural Property including Antiques,143,519,25575025,66989149
Karnataka,2009,Cultural Property including Antiques - Property,8. Cultural Property including Antiques,124,315,30147900,75174081
Karnataka,2010,Cultural Property including Antiques - Property,8. Cultural Property including Antiques,97,214,29132950,53038885
Karnataka,2001,Cycle - Property,3. Cycle,398,717,532207,1214735
Karnataka,2002,Cycle - Property,3. Cycle,552,863,818431,1424671
Karnataka,2003,Cycle - Property,3. Cycle,396,622,619915,1039289
Karnataka,2004,Cycle - Property,3. Cycle,429,594,3561752,3843141
Karnataka,2005,Cycle - Property,3. Cycle,413,569,698651,988003
Karnataka,2006,Cycle - Property,3. Cycle,267,346,591811,725273
Karnataka,2007,Cycle - Property,3. Cycle,170,241,379778,616480
Karnataka,2008,Cycle - Property,3. Cycle,81,141,194711,323009
Karnataka,2009,Cycle - Property,3. Cycle,48,99,182100,341921
Karnataka,2010,Cycle - Property,3. Cycle,42,80,162830,368764
Karnataka,2001,Electronic Components - Property,7. Electronic Components,180,585,38014794,89878033
Karnataka,2002,Electronic Components - Property,7. Electronic Components,147,512,26219667,66762994
Karnataka,2003,Electronic Components - Property,7. Electronic Components,115,351,19467194,54173981
Karnataka,2004,Electronic Components - Property,7. Electronic Components,186,829,29633583,71150215
Karnataka,2005,Electronic Components - Property,7. Electronic Components,211,606,31519528,93458094
Karnataka,2006,Electronic Components - Property,7. Electronic Components,126,503,34003304,110211806
