Area_Name,Year,Offenders_Arrested,Offenders_Arrested_for_the_First_time,Offenders_Conviction_in_the_past_Once,Offenders_Conviction_in_the_past_Three_times_or_More,Offenders_Conviction_in_the_past_Twice
Karnataka,2010,161618,152203,7121,359,1935
Karnataka,2002,156502,151698,4252,13,539
Karnataka,2001,160150,149903,10072,64,111
Karnataka,2008,150998,142369,6814,394,1421
Karnataka,2009,149981,140418,8064,323,1176
Karnataka,2006,142252,137254,4484,157,357
Karnataka,2003,141444,135520,5511,154,259
Karnataka,2005,138588,133532,4830,39,187
Karnataka,2004,139785,129358,10125,103,199
Karnataka,2007,134054,125674,6375,373,1632
